+----------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------+------------------------------------------------------+------------+------------+--------+------------------+---------------------------------------------------------------------------------------------+-------+
| Вакансия                                                                                           | URL                                                                                   | Компания                                             | min_salary | max_salary | Валюта | Опыт             | Адрес                                                                                       | Сайт  |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/127077274?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/127077273?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/127077272?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/127077271?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/127077270?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/127077269?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Python-разработчик                                                                                 | https://novosibirsk.hh.ru/vacancy/127065990?query=Python&hhtmFrom=vacancy_search_list | Экспобанк                                            |     168000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Советская улица, 5                                                             | hh.ru |
| Python- разработчик (ML Engineer)                                                                  | https://novosibirsk.hh.ru/vacancy/127061729?query=Python&hhtmFrom=vacancy_search_list | Kaiten                                               |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Аналитик данных (Data analyst)                                                                     | https://novosibirsk.hh.ru/vacancy/127050366?query=Python&hhtmFrom=vacancy_search_list | ПАО МегаФон, IT                                      |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Планетная улица, 30                                                            | hh.ru |
| Преподаватель Python для детей в Новосибирске                                                      | https://novosibirsk.hh.ru/vacancy/127048252?query=Python&hhtmFrom=vacancy_search_list | IT-клуб Robi                                         |      20000 |      30000 | ₽      | Опыт 1-3 года    | Новосибирск, проспект Карла Маркса                                                          | hh.ru |
| SRE инженер                                                                                        | https://novosibirsk.hh.ru/vacancy/127044628?query=Python&hhtmFrom=vacancy_search_list | Сбер для экспертов                                   |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Преподаватель Python                                                                               | https://novosibirsk.hh.ru/vacancy/127044261?query=Python&hhtmFrom=vacancy_search_list | Movavi                                               |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Романова, 39                                                             | hh.ru |
| ML Engineer (PyTorch, Audio)                                                                       | https://novosibirsk.hh.ru/vacancy/127037268?query=Python&hhtmFrom=vacancy_search_list | ООО Робот Мия                                        |     200000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, Разъездная улица, 12                | hh.ru |
| Научный сотрудник                                                                                  | https://novosibirsk.hh.ru/vacancy/127031908?query=Python&hhtmFrom=vacancy_search_list | АО Институт прикладной физики                        |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, улица Арбузова, 1/1                 | hh.ru |
| Senior ML engineer (офис)                                                                          | https://novosibirsk.hh.ru/vacancy/127023594?query=Python&hhtmFrom=vacancy_search_list | ООО Совкомбанк Технологии                            |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Threat hunter SOC                                                                                  | https://novosibirsk.hh.ru/vacancy/126997926?query=Python&hhtmFrom=vacancy_search_list | Т-Банк. ИТ. Информационная безопасность              |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Системный аналитик (Новосибирск)                                                                   | https://novosibirsk.hh.ru/vacancy/126986072?query=Python&hhtmFrom=vacancy_search_list | ООО СофтМолл                                         |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Middle/Senior C++ Developer                                                                        | https://novosibirsk.hh.ru/vacancy/126984434?query=Python&hhtmFrom=vacancy_search_list | ООО Модульные Системы Торнадо                        |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Николаева, 11/5                                                          | hh.ru |
| Аналитик SOC                                                                                       | https://novosibirsk.hh.ru/vacancy/126975700?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.Бизнес и управление                             |       None |       None | None   | Опыт 1-3 года    | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| SOC-аналитик                                                                                       | https://novosibirsk.hh.ru/vacancy/126969994?query=Python&hhtmFrom=vacancy_search_list | ООО СофтМолл                                         |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Фрунзе, 88                                                               | hh.ru |
| Ведущий SOC-аналитик                                                                               | https://novosibirsk.hh.ru/vacancy/126969661?query=Python&hhtmFrom=vacancy_search_list | ООО СофтМолл                                         |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Фрунзе, 88                                                               | hh.ru |
| Инженер-исследователь SIEM                                                                         | https://novosibirsk.hh.ru/vacancy/126967612?query=Python&hhtmFrom=vacancy_search_list | UserGate                                             |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Николаева, 11                                                            | hh.ru |
| QA Lead в команду WebAPI                                                                           | https://novosibirsk.hh.ru/vacancy/126965207?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| QA Lead в сервис Рекламы                                                                           | https://novosibirsk.hh.ru/vacancy/126959129?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт более 6 лет | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Senior Data Engineer                                                                               | https://novosibirsk.hh.ru/vacancy/126952805?query=Python&hhtmFrom=vacancy_search_list | Эн+                                                  |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Senior Data Engineer                                                                               | https://novosibirsk.hh.ru/vacancy/126952764?query=Python&hhtmFrom=vacancy_search_list | Эн+                                                  |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Менеджер программы лояльности                                                                      | https://novosibirsk.hh.ru/vacancy/126948719?query=Python&hhtmFrom=vacancy_search_list | Сеть супермаркетов Столичный                         |       None |       None | None   | Опыт 3-6 лет     | Южно-Сахалинск, Комсомольская улица, 259В                                                   | hh.ru |
| Преподаватель детской IT-академии / программист                                                    | https://novosibirsk.hh.ru/vacancy/126926117?query=Python&hhtmFrom=vacancy_search_list | impact Academies&Camps                               |      40000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Руководитель отдела автоматизации и управления данными функции снабжения                           | https://novosibirsk.hh.ru/vacancy/126913811?query=Python&hhtmFrom=vacancy_search_list | АЛРОСА.Руководители                                  |       None |       None | None   | Опыт более 6 лет | Москва, Озерковская набережная, 30                                                          | hh.ru |
| Аналитик данных                                                                                    | https://novosibirsk.hh.ru/vacancy/126911720?query=Python&hhtmFrom=vacancy_search_list | ООО МКК Корона                                       |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Frontend/ fullstack developer (senior/ team lead)                                                  | https://novosibirsk.hh.ru/vacancy/126907059?query=Python&hhtmFrom=vacancy_search_list | Алабуга. Проектный менеджмент                        |     450000 |        inf | ₽      | Опыт 3-6 лет     | Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1                         | hh.ru |
| Инженер 2-й линии поддержки                                                                        | https://novosibirsk.hh.ru/vacancy/126905813?query=Python&hhtmFrom=vacancy_search_list | ООО Пиклема                                          |       None |       None | None   | Опыт 1-3 года    | Москва, Докучаев переулок, 3к1                                                              | hh.ru |
| Программист-разработчик                                                                            | https://novosibirsk.hh.ru/vacancy/126898463?query=Python&hhtmFrom=vacancy_search_list | Алабуга. IT-Разработка игр                           |     130500 |        inf | ₽      | Опыт 1-3 года    | Елабужский район, Особая экономическая зона Алабуга                                         | hh.ru |
| Junior Data Scientist (Стажер)                                                                     | https://novosibirsk.hh.ru/vacancy/126895474?query=Python&hhtmFrom=vacancy_search_list | Центр финансовых технологий                          |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Техлид команды аналитиков                                                                          | https://novosibirsk.hh.ru/vacancy/126892493?query=Python&hhtmFrom=vacancy_search_list | ООО Farpost IT                                       |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| AI-developer (senior/ team lead)                                                                   | https://novosibirsk.hh.ru/vacancy/126866802?query=Python&hhtmFrom=vacancy_search_list | Алабуга. Проектный менеджмент                        |     450000 |        inf | ₽      | Опыт 3-6 лет     | Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1                         | hh.ru |
| Специалист по информационной безопасности                                                          | https://novosibirsk.hh.ru/vacancy/126863297?query=Python&hhtmFrom=vacancy_search_list | Алабуга. IT-Разработка игр                           |     170000 |        inf | ₽      | Опыт 1-3 года    | Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1                         | hh.ru |
| DevOps-инженер                                                                                     | https://novosibirsk.hh.ru/vacancy/126843167?query=Python&hhtmFrom=vacancy_search_list | ООО Передовые технологии                             |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, проспект Академика Лаврентьева, 2/2 | hh.ru |
| Младший аналитик                                                                                   | https://novosibirsk.hh.ru/vacancy/126841229?query=Python&hhtmFrom=vacancy_search_list | MARMALATO                                            |      50000 |        inf | ₽      | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Python-разработчик                                                                                 | https://novosibirsk.hh.ru/vacancy/126830600?query=Python&hhtmFrom=vacancy_search_list | ООО Передовые технологии                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, Советский район, микрорайон Академгородок, проспект Академика Лаврентьева, 2/2 | hh.ru |
| Главный специалист по аудиту (бизнес-процессы, бизнес-показатели)                                  | https://novosibirsk.hh.ru/vacancy/126828385?query=Python&hhtmFrom=vacancy_search_list | ПАО Совкомбанк                                       |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Архитектор                                                                                         | https://novosibirsk.hh.ru/vacancy/126828189?query=Python&hhtmFrom=vacancy_search_list | Т-Банк. ИТ. QA                                       |       None |       None | None   | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| Team Lead                                                                                          | https://novosibirsk.hh.ru/vacancy/126828162?query=Python&hhtmFrom=vacancy_search_list | Т-Банк. Работа с клиентами                           |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Startup Project Manager                                                                            | https://novosibirsk.hh.ru/vacancy/126780527?query=Python&hhtmFrom=vacancy_search_list | High Sky                                             |       1500 |       3000 | $      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Учитель / Преподаватель программирования                                                           | https://novosibirsk.hh.ru/vacancy/126766682?query=Python&hhtmFrom=vacancy_search_list | Школа программирования Креайтивика                   |      40000 |      60000 | ₽      | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, улица Мусы Джалиля, 3/1             | hh.ru |
| Инженер на сопровождение (микросервисы)                                                            | https://novosibirsk.hh.ru/vacancy/126764848?query=Python&hhtmFrom=vacancy_search_list | Т1 Иннотех                                           |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| DevOps-инженер                                                                                     | https://novosibirsk.hh.ru/vacancy/126758215?query=Python&hhtmFrom=vacancy_search_list | Lime Credit Group                                    |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Максима Горького, 24                                                     | hh.ru |
| Data Engineer/Scientist/Analytic                                                                   | https://novosibirsk.hh.ru/vacancy/126753999?query=Python&hhtmFrom=vacancy_search_list | VIVAT                                                |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Костычева, 36/1                                                          | hh.ru |
| Системный аналитик                                                                                 | https://novosibirsk.hh.ru/vacancy/126744727?query=Python&hhtmFrom=vacancy_search_list | БКС IT & Digital                                     |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Linux инженер (SberDevices)                                                                        | https://novosibirsk.hh.ru/vacancy/126728479?query=Python&hhtmFrom=vacancy_search_list | Сбер для экспертов                                   |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Senior Network engineer / Старший сетевой инженер (KORNFELD)                                       | https://novosibirsk.hh.ru/vacancy/126712843?query=Python&hhtmFrom=vacancy_search_list | YADRO                                                |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Инженер по безопасной разработке ПО (AppSec)                                                       | https://novosibirsk.hh.ru/vacancy/126703683?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.Бизнес и управление                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| ML-инженер                                                                                         | https://novosibirsk.hh.ru/vacancy/126700147?query=Python&hhtmFrom=vacancy_search_list | ООО Сибсайнс                                         |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Инженерная улица, 4А                                                           | hh.ru |
| DWH разработчик                                                                                    | https://novosibirsk.hh.ru/vacancy/126699647?query=Python&hhtmFrom=vacancy_search_list | ООО Финтех Айкью                                     |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| QA Engineer (направление Unified Communications (UC))                                              | https://novosibirsk.hh.ru/vacancy/126696839?query=Python&hhtmFrom=vacancy_search_list | ООО «Предприятие «ЭЛТЕКС»                            |       None |       None | None   | Опыт 1-3 года    | город Новосибирск, Окружная улица, 29в                                                      | hh.ru |
| Ведущий специалист по цифровым технологиям аудита                                                  | https://novosibirsk.hh.ru/vacancy/126693802?query=Python&hhtmFrom=vacancy_search_list | Сбер для экспертов                                   |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Стажер Data Science, Новосибирск                                                                   | https://novosibirsk.hh.ru/vacancy/126693798?query=Python&hhtmFrom=vacancy_search_list | Сбер для экспертов                                   |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Тестировщик                                                                                        | https://novosibirsk.hh.ru/vacancy/126690244?query=Python&hhtmFrom=vacancy_search_list | Find the Job                                         |     100000 |     120000 | ₽      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Кассир                                                                                             | https://novosibirsk.hh.ru/vacancy/126633744?query=Python&hhtmFrom=vacancy_search_list | ООО Питон                                            |      50000 |      50000 | ₽      | Опыт 1-3 года    | Новосибирск, Ядринцевская улица, 21                                                         | hh.ru |
| Системный администратор Unix                                                                       | https://novosibirsk.hh.ru/vacancy/126600882?query=Python&hhtmFrom=vacancy_search_list | Центр финансовых технологий                          |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Риск-аналитик                                                                                      | https://novosibirsk.hh.ru/vacancy/126598758?query=Python&hhtmFrom=vacancy_search_list | Lime Credit Group                                    |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Нижегородская улица, 6А                                                        | hh.ru |
| Разработчик RPA                                                                                    | https://novosibirsk.hh.ru/vacancy/126541883?query=Python&hhtmFrom=vacancy_search_list | Lime Credit Group                                    |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Максима Горького, 24                                                     | hh.ru |
| Копирайтер в экономике со знанием IT                                                               | https://novosibirsk.hh.ru/vacancy/126376856?query=Python&hhtmFrom=vacancy_search_list | Magora Systems                                       |      50000 |      70000 | ₽      | Без опыта        | Москва                                                                                      | hh.ru |
| QA Automation (Protei.SB)                                                                          | https://novosibirsk.hh.ru/vacancy/126352072?query=Python&hhtmFrom=vacancy_search_list | Протей, НТЦ                                          |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Добролюбова, 2А                                                          | hh.ru |
| Системный администратор Linux                                                                      | https://novosibirsk.hh.ru/vacancy/126230151?query=Python&hhtmFrom=vacancy_search_list | ООО Смарт консалтинг                                 |      85000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Октябрьская магистраль, 4                                                      | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/126194016?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/126194015?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Тимлид в команду Core 2GIC (C++)                                                                   | https://novosibirsk.hh.ru/vacancy/126194014?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Middle C++ разработчик в Ads Core                                                                  | https://novosibirsk.hh.ru/vacancy/126184199?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Москва, Поклонная улица, 3к4                                                                | hh.ru |
| Data Release Engineer в On-Premise                                                                 | https://novosibirsk.hh.ru/vacancy/126175283?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Разработчик на Python в команду CLI                                                                | https://novosibirsk.hh.ru/vacancy/126154200?query=Python&hhtmFrom=vacancy_search_list | UserGate                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, Вокзальная магистраль, 1/1                                                     | hh.ru |
| DevOps-инженер (с функциями Data-инженера)                                                         | https://novosibirsk.hh.ru/vacancy/126048621?query=Python&hhtmFrom=vacancy_search_list | ООО Финтех Айкью                                     |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Красноярская улица, 35                                                         | hh.ru |
| Разработчик баз данных                                                                             | https://novosibirsk.hh.ru/vacancy/126041649?query=Python&hhtmFrom=vacancy_search_list | ООО Майгрин Маркет                                   |     150000 |     160000 | ₽      | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, Инженерная улица, 7                 | hh.ru |
| Team Lead в Social Core (Middle/Senior C++)                                                        | https://novosibirsk.hh.ru/vacancy/125968754?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| QA Lead (группа автоматизации)                                                                     | https://novosibirsk.hh.ru/vacancy/125737465?query=Python&hhtmFrom=vacancy_search_list | ООО «Предприятие «ЭЛТЕКС»                            |       None |       None | None   | Опыт 3-6 лет     | город Новосибирск, Окружная улица, 29в                                                      | hh.ru |
| Системный администратор/DevOps-инженер (Junior)                                                    | https://novosibirsk.hh.ru/vacancy/125644063?query=Python&hhtmFrom=vacancy_search_list | ООО Динамика                                         |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Менеджер направления по взысканию проблемной задолженности физических лиц                          | https://novosibirsk.hh.ru/vacancy/125628858?query=Python&hhtmFrom=vacancy_search_list | Сбер для экспертов                                   |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Специалист по валидации моделей Управления модельных рисков и валидации                            | https://novosibirsk.hh.ru/vacancy/125616949?query=Python&hhtmFrom=vacancy_search_list | ПАО ВТБ, Технологический блок                        |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Teamlead Data Engineer                                                                             | https://novosibirsk.hh.ru/vacancy/125543164?query=Python&hhtmFrom=vacancy_search_list | S7 Group                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Кирова, 23                                                               | hh.ru |
| Сетевой инженер мобильной сети доступа / Network engineer MBH                                      | https://novosibirsk.hh.ru/vacancy/125445668?query=Python&hhtmFrom=vacancy_search_list | ООО БУЛАТ                                            |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Backend разработчик в офис                                                                         | https://novosibirsk.hh.ru/vacancy/125435329?query=Python&hhtmFrom=vacancy_search_list | ООО Совкомбанк Технологии                            |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Кирова, 50                                                               | hh.ru |
| Middle/Senior платформенный инженер (DBaaS)                                                        | https://novosibirsk.hh.ru/vacancy/125391887?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| DevOps-инженер                                                                                     | https://novosibirsk.hh.ru/vacancy/125303006?query=Python&hhtmFrom=vacancy_search_list | Центр финансовых технологий                          |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Прикладной администратор                                                                           | https://novosibirsk.hh.ru/vacancy/125303005?query=Python&hhtmFrom=vacancy_search_list | Центр финансовых технологий                          |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Инженер по безопасной разработке (Application security)                                            | https://novosibirsk.hh.ru/vacancy/125302084?query=Python&hhtmFrom=vacancy_search_list | Koronatech                                           |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| IP Engineer                                                                                        | https://novosibirsk.hh.ru/vacancy/124860840?query=Python&hhtmFrom=vacancy_search_list | Coleman Group                                        |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Руководитель подразделения аналитики и BI                                                          | https://novosibirsk.hh.ru/vacancy/124820784?query=Python&hhtmFrom=vacancy_search_list | VILAVI                                               |       None |       None | None   | Опыт более 6 лет | Новосибирск, улица Дуси Ковальчук, 77                                                       | hh.ru |
| Специалист отдела наукометрического анализа                                                        | https://novosibirsk.hh.ru/vacancy/124809786?query=Python&hhtmFrom=vacancy_search_list | Новосибирский государственный университет            |      35000 |      35000 | ₽      | Без опыта        | Новосибирск, Советский район, микрорайон Академгородок, улица Пирогова, 1                   | hh.ru |
| Специалист отдела наукометрического анализа                                                        | https://novosibirsk.hh.ru/vacancy/124809785?query=Python&hhtmFrom=vacancy_search_list | Новосибирский государственный университет            |      35000 |      35000 | ₽      | Без опыта        | Новосибирск, Советский район, микрорайон Академгородок, улица Пирогова, 1                   | hh.ru |
| DevOps инженер                                                                                     | https://novosibirsk.hh.ru/vacancy/124712802?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Маркетолог-аналитик LAB Industries                                                                 | https://novosibirsk.hh.ru/vacancy/124552841?query=Python&hhtmFrom=vacancy_search_list | LAB Industries                                       |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Фрунзе                                                                   | hh.ru |
| Аналитик Данных / Data Analyst (Fintech, Marketing & Risk)                                         | https://novosibirsk.hh.ru/vacancy/124471102?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| Хостес                                                                                             | https://novosibirsk.hh.ru/vacancy/124421529?query=Python&hhtmFrom=vacancy_search_list | ООО Питон                                            |     100000 |     150000 | ₽      | Без опыта        | Новосибирск, Ядринцевская улица, 21                                                         | hh.ru |
| Разработчик Python                                                                                 | https://novosibirsk.hh.ru/vacancy/124408556?query=Python&hhtmFrom=vacancy_search_list | Первая IT-компания                                   |      60000 |      80000 | ₽      | Опыт 1-3 года    | Владивосток                                                                                 | hh.ru |
| Аналитик по информационной безопасности (Asset management)                                         | https://novosibirsk.hh.ru/vacancy/124385432?query=Python&hhtmFrom=vacancy_search_list | ООО Совкомбанк Технологии                            |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Кирова, 50                                                               | hh.ru |
| Team/Tech Lead Python разработки                                                                   | https://novosibirsk.hh.ru/vacancy/124257726?query=Python&hhtmFrom=vacancy_search_list | ООО Майгрин Маркет                                   |     250000 |     400000 | ₽      | Опыт 3-6 лет     | Новосибирск, Советский район, микрорайон Академгородок, Инженерная улица, 7                 | hh.ru |
| Middle+ / Senior QA Auto Python специалист                                                         | https://novosibirsk.hh.ru/vacancy/124171892?query=Python&hhtmFrom=vacancy_search_list | ООО Линсофтверпродакшн                               |     120000 |     180000 | ₽      | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| Senior cистемный архитектор                                                                        | https://novosibirsk.hh.ru/vacancy/124023071?query=Python&hhtmFrom=vacancy_search_list | ООО Линсофтверпродакшн                               |          0 |     500000 | ₽      | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| Ведущий дата-аналитик                                                                              | https://novosibirsk.hh.ru/vacancy/123735772?query=Python&hhtmFrom=vacancy_search_list | ООО Мантера-Групп                                    |          0 |     150000 | ₽      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Системный инженер / Ведущий системный инженер по ИТ, г. Новосибирск                                | https://novosibirsk.hh.ru/vacancy/123701942?query=Python&hhtmFrom=vacancy_search_list | Coleman Group                                        |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Reverse - инженер [Senior]                                                                         | https://novosibirsk.hh.ru/vacancy/123608790?query=Python&hhtmFrom=vacancy_search_list | ООО Диплей                                           |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Сетевой инженер VoIP                                                                               | https://novosibirsk.hh.ru/vacancy/123447010?query=Python&hhtmFrom=vacancy_search_list | ООО «Предприятие «ЭЛТЕКС»                            |       None |       None | None   | Опыт 1-3 года    | город Новосибирск, Окружная улица, 29в                                                      | hh.ru |
| Middle/Senior DBA в команду инфраструктуры (Kubernetes)                                            | https://novosibirsk.hh.ru/vacancy/123211984?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Автотестировщик в крауд-тестирование                                                               | https://novosibirsk.hh.ru/vacancy/123000595?query=Python&hhtmFrom=vacancy_search_list | Яндекс Крауд: Качество продуктов                     |          0 |      89000 | ₽      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| DevOps Engineer                                                                                    | https://novosibirsk.hh.ru/vacancy/122964364?query=Python&hhtmFrom=vacancy_search_list | ARQA Technologies                                    |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Коммунистическая улица, 2                                                      | hh.ru |
| Инженер по тестированию (ручное и автоматизированное тестирование)                                 | https://novosibirsk.hh.ru/vacancy/122789808?query=Python&hhtmFrom=vacancy_search_list | ООО НПФ Гранч                                        |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Королёва, 40к1                                                           | hh.ru |
