{'$or': ({'$and': ({'currency': '₽'},
                   {'min_salary': {'$lte': 250000}},
                   {'max_salary': {'$gte': 250000}})},
         {'$and': ({'currency': '$'},
                   {'min_salary': {'$lte': 25000000}},
                   {'max_salary': {'$gte': 25000000}})},
         {'$and': ({'currency': '€'},
                   {'min_salary': {'$lte': 27500000}},
                   {'max_salary': {'$gte': 27500000}})},
         {'$and': ({'currency': '₴'},
                   {'min_salary': {'$lte': 625000.0}},
                   {'max_salary': {'$gte': 625000.0}})},
         {'$and': ({'currency': '₸'},
                   {'min_salary': {'$lte': 50000.0}},
                   {'max_salary': {'$gte': 50000.0}})},
         {'$and': ({'currency': '£'},
                   {'min_salary': {'$lte': 32500000}},
                   {'max_salary': {'$gte': 32500000}})})}
+-------------------------------------------------------------+---------------------------------------------------------------------------------------+---------------------------------+------------+------------+--------+------------------+-------------------------------------------------------------------------------+-------+
| Вакансия                                                    | URL                                                                                   | Компания                        | min_salary | max_salary | Валюта | Опыт             | Адрес                                                                         | Сайт  |
| Senior backend-developer (PHP, Symfony)                     | https://novosibirsk.hh.ru/vacancy/127109742?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| Senior backend-developer (PHP, Symfony)                     | https://novosibirsk.hh.ru/vacancy/127109741?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| Senior backend-developer (PHP, Symfony)                     | https://novosibirsk.hh.ru/vacancy/127109740?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| Senior backend-developer (PHP, Symfony)                     | https://novosibirsk.hh.ru/vacancy/127109739?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| AI-разработчик (Интеграция ИИ в чат-бот)                    | https://novosibirsk.hh.ru/vacancy/127108869?query=Python&hhtmFrom=vacancy_search_list | ООО ЭВА ПРОДАКТ                 |     100000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Красный проспект, 77/1                                           | hh.ru |
| PHP разработчик (Symfony)                                   | https://novosibirsk.hh.ru/vacancy/127108844?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |     160000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| PHP разработчик (Symfony)                                   | https://novosibirsk.hh.ru/vacancy/127108504?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |     160000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| PHP разработчик (Symfony)                                   | https://novosibirsk.hh.ru/vacancy/127105981?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |     160000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| Python-разработчик                                          | https://novosibirsk.hh.ru/vacancy/127098837?query=Python&hhtmFrom=vacancy_search_list | Сибирская генерирующая Компания |     100000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, улица Николаева, 11/5                                            | hh.ru |
| Python-разработчик                                          | https://novosibirsk.hh.ru/vacancy/127065990?query=Python&hhtmFrom=vacancy_search_list | Экспобанк                       |     168000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Советская улица, 5                                               | hh.ru |
| ML Engineer (PyTorch, Audio)                                | https://novosibirsk.hh.ru/vacancy/127037268?query=Python&hhtmFrom=vacancy_search_list | ООО Робот Мия                   |     200000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, Разъездная улица, 12  | hh.ru |
| Преподаватель детской IT-академии / программист             | https://novosibirsk.hh.ru/vacancy/126926117?query=Python&hhtmFrom=vacancy_search_list | impact Academies&Camps          |      40000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск                                                                   | hh.ru |
| Программист-разработчик                                     | https://novosibirsk.hh.ru/vacancy/126898463?query=Python&hhtmFrom=vacancy_search_list | Алабуга. IT-Разработка игр      |     130500 |        inf | ₽      | Опыт 1-3 года    | Елабужский район, Особая экономическая зона Алабуга                           | hh.ru |
| Специалист по информационной безопасности                   | https://novosibirsk.hh.ru/vacancy/126863297?query=Python&hhtmFrom=vacancy_search_list | Алабуга. IT-Разработка игр      |     170000 |        inf | ₽      | Опыт 1-3 года    | Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1           | hh.ru |
| Младший аналитик                                            | https://novosibirsk.hh.ru/vacancy/126841229?query=Python&hhtmFrom=vacancy_search_list | MARMALATO                       |      50000 |        inf | ₽      | Без опыта        | Новосибирск                                                                   | hh.ru |
| Системный администратор Linux                               | https://novosibirsk.hh.ru/vacancy/126230151?query=Python&hhtmFrom=vacancy_search_list | ООО Смарт консалтинг            |      85000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Октябрьская магистраль, 4                                        | hh.ru |
| Team/Tech Lead Python разработки                            | https://novosibirsk.hh.ru/vacancy/124257726?query=Python&hhtmFrom=vacancy_search_list | ООО Майгрин Маркет              |     250000 |     400000 | ₽      | Опыт 3-6 лет     | Новосибирск, Советский район, микрорайон Академгородок, Инженерная улица, 7   | hh.ru |
| Senior cистемный архитектор                                 | https://novosibirsk.hh.ru/vacancy/124023071?query=Python&hhtmFrom=vacancy_search_list | ООО Линсофтверпродакшн          |          0 |     500000 | ₽      | Опыт более 6 лет | Новосибирск                                                                   | hh.ru |
| Middle+ / Senior ML-инженер                                 | https://novosibirsk.hh.ru/vacancy/119864278?query=Python&hhtmFrom=vacancy_search_list | ООО Линсофтверпродакшн          |     220000 |     330000 | ₽      | Опыт более 6 лет | Новосибирск                                                                   | hh.ru |
| Middle+ / Senior Data-инженер                               | https://novosibirsk.hh.ru/vacancy/119062196?query=Python&hhtmFrom=vacancy_search_list | ООО Линсофтверпродакшн          |     250000 |     370000 | ₽      | Опыт более 6 лет | Новосибирск                                                                   | hh.ru |
| PHP разработчик (Symfony)                                   | https://novosibirsk.hh.ru/vacancy/105384889?query=Python&hhtmFrom=vacancy_search_list | еКапуста                        |     160000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                       | hh.ru |
| Специалист группы проактивного мониторинга                  | https://novosibirsk.hh.ru/vacancy/127816218?query=Python&hhtmFrom=vacancy_search_list | Экспобанк                       |     103000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Советская улица, 5                                               | hh.ru |
+-------------------------------------------------------------+---------------------------------------------------------------------------------------+---------------------------------+------------+------------+--------+------------------+-------------------------------------------------------------------------------+-------+
