base,avg_capacity,std,low,avg,high
BOSSbase,19786.16,2.2906574298116436,51.527114794609204,51.976075401306154,52.425036008003104
medical,39468.88,2.514010426304071,54.19864557110131,54.69138256072998,55.184119550358645
portrait,19687.2,2.412577639756215,51.51704718827691,51.98990371704102,52.46276024580512
